Entity	Label1	Label2
http://purl.obolibrary.org/obo/LANG_1000064	Achuar-Shiwiar	
http://purl.obolibrary.org/obo/LANG_1000065	Achumawi	
http://purl.obolibrary.org/obo/LANG_1000066	Hijazi Arabic	
http://purl.obolibrary.org/obo/LANG_1000067	Omani Arabic	
http://purl.obolibrary.org/obo/LANG_1000068	Cypriot Arabic	
http://purl.obolibrary.org/obo/LANG_1000069	Acheron	
http://purl.obolibrary.org/obo/LANG_1000070	Adangme	Adangme-Sprache
http://purl.obolibrary.org/obo/LANG_1000071	Adabe	
http://purl.obolibrary.org/obo/LANG_1000072	Lidzonka	
http://purl.obolibrary.org/obo/LANG_1000073	Adele	
http://purl.obolibrary.org/obo/LANG_1000074	Dhofari Arabic	
http://purl.obolibrary.org/obo/LANG_1000075	Andegerebinha	
http://purl.obolibrary.org/obo/LANG_1000076	Adhola	
http://purl.obolibrary.org/obo/LANG_1000077	Adi	
http://purl.obolibrary.org/obo/LANG_1000078	Adioukrou	
http://purl.obolibrary.org/obo/LANG_1000079	Galo	
http://purl.obolibrary.org/obo/LANG_1000080	Adang	
http://purl.obolibrary.org/obo/LANG_1000081	Abu	
http://purl.obolibrary.org/obo/LANG_1000082	Adangbe	
http://purl.obolibrary.org/obo/LANG_1000083	Adonara	
http://purl.obolibrary.org/obo/LANG_1000084	Adamorobe Sign Language	
http://purl.obolibrary.org/obo/LANG_1000085	Adnyamathanha	
http://purl.obolibrary.org/obo/LANG_1000086	Aduge	
http://purl.obolibrary.org/obo/LANG_1000087	Amundava	
http://purl.obolibrary.org/obo/LANG_1000088	Amdo Tibetan	
http://purl.obolibrary.org/obo/LANG_1000089	Adyghe	Adygisch
http://purl.obolibrary.org/obo/LANG_1000090	Adzera	
http://purl.obolibrary.org/obo/LANG_1000091	Areba	
http://purl.obolibrary.org/obo/LANG_1000092	Tunisian Arabic	
http://purl.obolibrary.org/obo/LANG_1000093	Saidi Arabic	
http://purl.obolibrary.org/obo/LANG_1000094	Argentine Sign Language	
http://purl.obolibrary.org/obo/LANG_1000095	Northeast Pashai	
http://purl.obolibrary.org/obo/LANG_1000096	Haeke	
http://purl.obolibrary.org/obo/LANG_1000097	Ambele	
http://purl.obolibrary.org/obo/LANG_1000098	Arem	
http://purl.obolibrary.org/obo/LANG_1000099	Armenian Sign Language	
http://purl.obolibrary.org/obo/LANG_1000100	Aer	
http://purl.obolibrary.org/obo/LANG_1000101	Eastern Arrernte	
http://purl.obolibrary.org/obo/LANG_1000102	Alsea	
http://purl.obolibrary.org/obo/LANG_1000103	Akeu	
http://purl.obolibrary.org/obo/LANG_1000104	Ambakich	
http://purl.obolibrary.org/obo/LANG_1000105	Amele	
http://purl.obolibrary.org/obo/LANG_1000106	Aeka	
http://purl.obolibrary.org/obo/LANG_1000107	Gulf Arabic	
http://purl.obolibrary.org/obo/LANG_1000108	Andai	
http://purl.obolibrary.org/obo/LANG_1000109	Putukwam	
http://purl.obolibrary.org/obo/LANG_1000110	Afghan Sign Language	
http://purl.obolibrary.org/obo/LANG_1000111	Afrihili	Afrihili
http://purl.obolibrary.org/obo/LANG_1000112	Akrukay	
